country,year,iso_code,population,gdp,primary_energy_consumption,electricity_generation,electricity_demand,renewables_share_energy,renewables_share_elec,fossil_share_energy,fossil_share_elec,low_carbon_share_energy,low_carbon_share_elec,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,biofuel_electricity,other_renewable_electricity,solar_share_elec,wind_share_elec,hydro_share_elec,nuclear_share_elec,coal_share_elec,gas_share_elec,energy_per_capita,renewables_energy_per_capita,fossil_energy_per_capita,renewables_cons_change_twh
Afghanistan,2004,AFG,23560656.0,22332570533.0,3.717,0.79,0.89,,70.886,,29.114,,70.886,0.0,0.0,0.56,0.0,0.06,0.0,0.17,0.0,0.0,0.0,0.0,70.886,0.0,7.595,0.0,157.758,,,
Afghanistan,2005,AFG,24404575.0,25397686814.0,5.014,0.82,0.92,,71.951,,28.049,,71.951,0.0,0.0,0.59,0.0,0.06,0.0,0.17,0.0,0.0,0.0,0.0,71.951,0.0,7.317,0.0,205.468,,,
Afghanistan,2006,AFG,25424100.0,28704399925.0,6.531,0.9,1.33,,71.111,,28.889,,71.111,0.0,0.0,0.64,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.0,71.111,0.0,16.667,0.0,256.867,,,
Afghanistan,2007,AFG,25909852.0,34507529735.0,7.758,1.01,1.62,,74.257,,25.743,,74.257,0.0,0.0,0.75,0.0,0.15,0.0,0.11,0.0,0.0,0.0,0.0,74.257,0.0,14.851,0.0,299.434,,,
Afghanistan,2008,AFG,26482631.0,36561043230.0,15.04,0.78,1.53,,69.231,,30.769,,69.231,0.0,0.0,0.54,0.0,0.13,0.0,0.11,0.0,0.0,0.0,0.0,69.231,0.0,16.667,0.0,567.922,,,
Afghanistan,2009,AFG,27466102.0,44358722212.0,25.258,0.89,2.04,,87.64,,12.36,,87.64,0.0,0.0,0.78,0.0,0.06,0.0,0.05,0.0,0.0,0.0,0.0,87.64,0.0,6.742,0.0,919.612,,,
Afghanistan,2010,AFG,28284088.0,47399425562.0,32.244,0.88,2.75,,85.227,,14.773,,85.227,0.0,0.0,0.75,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.0,85.227,0.0,6.818,0.0,1139.987,,,
Afghanistan,2011,AFG,29347708.0,53326336000.0,41.391,0.77,3.5,,77.922,,22.078,,77.922,0.0,0.0,0.6,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,77.922,0.0,12.987,0.0,1410.376,,,
Afghanistan,2012,AFG,30560036.0,59166900000.0,39.021,0.88,3.95,,84.091,,15.909,,84.091,0.03,0.0,0.71,0.0,0.07,0.0,0.07,0.0,0.0,3.409,0.0,80.682,0.0,7.955,0.0,1276.868,,,
Afghanistan,2013,AFG,31622709.0,62993700000.0,31.869,1.11,4.73,,80.18,,19.82,,80.18,0.03,0.0,0.86,0.0,0.12,0.0,0.1,0.0,0.0,2.703,0.0,77.477,0.0,10.811,0.0,1007.797,,,
Afghanistan,2014,AFG,32792528.0,64346106000.0,26.63,1.16,4.87,,86.207,,13.793,,86.207,0.03,0.0,0.97,0.0,0.11,0.0,0.05,0.0,0.0,2.586,0.0,83.621,0.0,9.483,0.0,812.082,,,
Afghanistan,2015,AFG,33831767.0,62783392000.0,30.954,1.18,4.96,,87.288,,12.712,,87.288,0.03,0.0,1.0,0.0,0.1,0.0,0.05,0.0,0.0,2.542,0.0,84.746,0.0,8.475,0.0,914.925,,,
Afghanistan,2016,AFG,34700613.0,64372217488.0,28.075,1.21,5.54,,87.603,,12.397,,87.603,0.04,0.0,1.02,0.0,0.09,0.0,0.06,0.0,0.0,3.306,0.0,84.298,0.0,7.438,0.0,809.074,,,
Afghanistan,2017,AFG,35688941.0,65169281649.0,36.517,1.26,5.87,,86.508,,13.492,,86.508,0.04,0.0,1.05,0.0,0.11,0.0,0.06,0.0,0.0,3.175,0.0,83.333,0.0,8.73,0.0,1023.214,,,
Afghanistan,2018,AFG,36743040.0,65996738862.0,46.493,1.17,6.16,,82.906,,17.094,,82.906,0.04,0.0,0.93,0.0,0.12,0.0,0.08,0.0,0.0,3.419,0.0,79.487,0.0,10.256,0.0,1265.342,,,
Afghanistan,2019,AFG,37856125.0,73085701943.0,47.112,1.46,6.37,,87.671,,12.329,,87.671,0.06,0.0,1.22,0.0,0.08,0.0,0.1,0.0,0.0,4.11,0.0,83.562,0.0,5.479,0.0,1244.489,,,
Afghanistan,2020,AFG,39068977.0,71417706295.0,46.912,1.18,6.33,,89.831,,10.169,,89.831,0.07,0.0,0.99,0.0,0.02,0.0,0.1,0.0,0.0,5.932,0.0,83.898,0.0,1.695,0.0,1200.742,,,
Afghanistan,2021,AFG,40000410.0,56638852656.0,47.569,1.06,6.76,,87.736,,12.264,,87.736,0.08,0.0,0.85,0.0,0.03,0.0,0.1,0.0,0.0,7.547,0.0,80.189,0.0,2.83,0.0,1189.22,,,
Afghanistan,2022,AFG,40578847.0,53303471617.0,45.106,0.96,6.84,,86.458,,13.542,,86.458,0.09,0.0,0.74,0.0,0.03,0.0,0.1,0.0,0.0,9.375,0.0,77.083,0.0,3.125,0.0,1111.573,,,
Afghanistan,2023,AFG,41454762.0,,41.06,0.97,7.19,,86.598,,13.402,,86.598,0.09,0.0,0.75,0.0,0.03,0.0,0.1,0.0,0.0,9.278,0.0,77.32,0.0,3.093,0.0,990.47,,,
Afghanistan,2024,AFG,42647502.0,,,0.99,6.82,,86.869,,13.131,,86.869,0.11,0.0,0.75,0.0,0.03,0.0,0.1,0.0,0.0,11.111,0.0,75.758,0.0,3.03,0.0,,,,
Africa,2000,,830226481.0,,3196.58,441.07,454.14,6.813,17.569,92.052,79.482,7.948,20.518,0.0,0.17,74.85,13.01,211.52,91.85,47.2,2.04,2.47,0.0,0.039,16.97,2.95,47.956,20.824,3850.251,261.137,3528.355,15.059
Africa,2001,,851317075.0,,3318.36,459.45,462.6,7.024,18.13,92.08,79.536,7.92,20.464,0.0,0.42,80.3,10.72,216.72,100.98,47.73,2.1,2.58,0.0,0.091,17.477,2.333,47.169,21.978,3897.914,272.563,3573.125,15.235
Africa,2002,,873025213.0,,3361.184,487.7,489.34,7.236,18.05,91.782,79.491,8.218,20.509,0.02,0.44,84.6,11.99,224.76,115.96,46.96,2.58,2.97,0.004,0.09,17.347,2.458,46.086,23.777,3850.043,277.243,3516.777,10.003
Africa,2003,,895336412.0,,3512.796,509.15,510.49,6.731,16.867,92.282,80.646,7.718,19.354,0.02,0.53,82.01,12.66,237.76,124.0,48.85,2.53,3.32,0.004,0.104,16.107,2.486,46.697,24.354,3923.437,262.958,3604.993,-6.605
Africa,2004,,918363272.0,,3819.399,540.14,541.5,6.535,16.849,92.513,80.675,7.487,19.325,0.02,0.76,86.54,13.37,248.66,141.06,46.04,2.66,3.69,0.004,0.141,16.022,2.475,46.036,26.115,4158.92,270.682,3831.784,13.149
Africa,2005,,942115143.0,,3787.717,560.75,562.31,6.644,16.754,92.551,81.232,7.449,18.768,0.02,0.78,89.49,11.29,251.4,151.33,52.78,2.66,3.66,0.004,0.139,15.959,2.013,44.833,26.987,4020.439,265.985,3705.097,2.003
Africa,2006,,966491337.0,,3871.46,586.8,590.37,6.759,16.697,92.546,81.593,7.454,18.407,0.03,0.85,92.62,10.03,258.49,164.28,56.02,3.47,4.48,0.005,0.145,15.784,1.709,44.051,27.996,4005.685,269.61,3691.481,9.987
Africa,2007,,991615906.0,,4012.792,610.23,614.6,6.676,16.469,92.57,81.676,7.43,18.324,0.03,1.01,95.55,11.32,265.04,174.67,58.7,2.89,3.91,0.005,0.166,15.658,1.855,43.433,28.624,4046.72,269.064,3730.637,6.233
Africa,2008,,1017632831.0,,4258.883,621.69,626.12,6.376,16.487,92.815,81.422,7.185,18.578,0.04,1.31,96.94,13.0,259.87,184.14,62.18,3.02,4.21,0.006,0.211,15.593,2.091,41.801,29.619,4185.088,265.74,3868.601,3.618
Africa,2009,,1044356804.0,,4315.665,624.58,629.81,6.455,17.067,92.763,80.882,7.237,19.118,0.07,1.6,100.65,12.81,250.16,188.21,66.8,2.92,4.28,0.011,0.256,16.115,2.051,40.053,30.134,4132.366,265.657,3817.967,7.014
Africa,2010,,1071809929.0,,4460.19,672.41,676.41,6.736,17.29,92.471,80.698,7.529,19.302,0.21,2.28,109.27,13.53,259.66,218.9,64.06,3.03,4.5,0.031,0.339,16.251,2.012,38.616,32.555,4161.363,279.104,3831.506,21.706
Africa,2011,,1099732995.0,,4529.279,688.68,694.88,6.819,17.32,92.44,80.807,7.56,19.193,0.51,2.41,112.1,12.9,262.77,236.84,56.89,2.75,4.26,0.074,0.35,16.278,1.873,38.156,34.39,4118.526,279.653,3790.925,8.397
Africa,2012,,1128396676.0,,4734.076,725.45,733.6,6.554,16.874,92.737,81.338,7.263,18.662,0.89,2.59,114.57,12.97,257.77,263.81,68.49,2.77,4.36,0.123,0.357,15.793,1.788,35.532,36.365,4195.4,273.883,3875.101,1.505
Africa,2013,,1158293959.0,,4888.162,740.91,750.3,6.703,17.2,92.556,80.895,7.444,19.105,0.56,3.83,118.22,14.11,253.6,267.72,78.04,2.92,4.83,0.076,0.517,15.956,1.904,34.228,36.134,4220.139,281.675,3889.602,17.214
Africa,2014,,1188685762.0,,5049.482,768.06,778.0,6.997,17.884,92.305,80.321,7.695,19.679,1.86,5.17,124.3,13.79,255.18,277.42,84.31,2.82,6.03,0.242,0.673,16.184,1.795,33.224,36.12,4247.954,296.0,3904.774,25.588
Africa,2015,,1219484027.0,,5163.164,790.03,797.82,7.023,17.987,92.375,80.464,7.625,19.536,3.25,8.98,122.39,12.24,254.69,289.11,91.89,3.0,7.48,0.411,1.137,15.492,1.549,32.238,36.595,4233.892,296.186,3895.98,9.343
Africa,2016,,1250551239.0,,5280.843,805.8,812.48,6.933,17.962,92.35,80.173,7.65,19.828,4.72,11.21,120.82,15.03,256.68,309.09,80.26,3.3,7.99,0.586,1.391,14.994,1.865,31.854,38.358,4222.812,291.594,3884.337,3.459
Africa,2017,,1282169538.0,,5444.701,825.62,830.86,7.179,18.748,92.166,79.533,7.834,20.467,6.78,13.44,126.4,14.19,257.12,324.7,74.82,3.41,8.17,0.821,1.628,15.31,1.719,31.143,39.328,4246.475,303.653,3898.154,24.682
Africa,2018,,1314609397.0,,5530.573,855.75,859.47,7.599,19.637,91.878,79.01,8.122,20.99,8.45,14.88,136.66,11.58,265.06,345.95,65.12,2.92,8.05,0.987,1.739,15.97,1.353,30.974,40.427,4207.008,318.369,3849.566,29.196
Africa,2019,,1347162538.0,,5681.833,875.96,874.14,7.841,20.575,91.58,77.912,8.42,22.088,11.55,19.52,140.92,13.25,264.18,361.87,56.43,3.0,8.24,1.319,2.228,16.087,1.513,30.159,41.311,4217.629,329.239,3845.608,25.008
Africa,2020,,1379939686.0,,5412.605,861.09,859.93,8.82,22.304,90.726,76.546,9.274,23.454,16.55,19.13,148.36,9.9,251.77,358.24,49.12,2.96,8.02,1.922,2.222,17.229,1.15,29.239,41.603,3922.349,344.271,3541.374,31.535
Africa,2021,,1412811077.0,,5870.374,905.76,904.65,8.715,22.821,90.764,75.816,9.236,24.184,19.87,23.2,155.55,12.35,248.74,387.33,50.64,3.04,8.08,2.194,2.561,17.173,1.363,27.462,42.763,4155.102,360.411,3753.474,34.12
Africa,2022,,1445862695.0,,5954.654,923.17,925.83,8.92,23.945,90.661,74.961,9.339,25.039,24.41,24.7,163.33,10.1,241.11,393.98,56.93,3.06,8.61,2.644,2.676,17.692,1.094,26.118,42.677,4118.409,365.666,3716.339,19.509
Africa,2023,,1479690254.0,,6050.292,930.89,933.8,9.215,24.51,90.457,74.62,9.543,25.38,29.89,27.77,160.49,8.1,231.63,398.2,64.8,3.95,10.01,3.211,2.983,17.24,0.87,24.883,42.776,4088.891,374.878,3679.781,26.002
Africa,2024,,1514032368.0,,6139.628,961.77,965.72,9.354,24.736,90.335,74.453,9.665,25.547,35.65,28.31,164.99,7.8,245.23,408.56,62.28,2.92,8.95,3.707,2.944,17.155,0.811,25.498,42.48,4055.15,377.47,3645.312,16.799
Africa (EI),2000,,,,3196.58,440.257,,6.813,17.663,92.052,78.74,7.948,20.619,0.012,0.176,75.302,13.01,208.259,91.843,46.555,,2.275,0.003,0.04,17.104,2.955,47.304,20.861,,,,15.059
Africa (EI),2001,,,,3318.36,459.188,,7.024,18.226,92.08,79.021,7.92,20.56,0.015,0.416,80.911,10.719,214.48,100.978,47.396,,2.348,0.003,0.091,17.62,2.334,46.709,21.991,,,,15.235
Africa (EI),2002,,,,3361.184,487.571,,7.236,18.016,91.782,79.116,8.218,20.475,0.016,0.444,85.068,11.991,222.945,115.956,46.843,,2.312,0.003,0.091,17.447,2.459,45.726,23.782,,,,10.003
Africa (EI),2003,,,,3512.796,509.034,,6.731,16.859,92.282,80.053,7.718,19.347,0.019,0.536,82.617,12.663,235.064,123.986,48.448,,2.646,0.004,0.105,16.23,2.488,46.179,24.357,,,,-6.605
Africa (EI),2004,,,,3819.399,540.743,,6.535,16.834,92.513,80.039,7.487,19.306,0.023,0.768,87.227,13.365,245.237,141.145,46.424,,3.013,0.004,0.142,16.131,2.472,45.352,26.102,,,,13.149
Africa (EI),2005,,,,3787.717,560.415,,6.644,16.545,92.551,80.844,7.449,18.56,0.027,0.78,88.843,11.293,248.88,151.726,52.458,,3.069,0.005,0.139,15.853,2.015,44.41,27.074,,,,2.003
Africa (EI),2006,,,,3871.46,586.134,,6.759,16.512,92.546,81.168,7.454,18.222,0.035,0.853,92.055,10.026,255.975,164.538,55.24,,3.838,0.006,0.145,15.705,1.711,43.672,28.072,,,,9.987
Africa (EI),2007,,,,4012.792,610.672,,6.676,16.288,92.57,81.248,7.43,18.141,0.044,1.016,95.205,11.317,262.565,174.979,58.618,,3.2,0.007,0.166,15.59,1.853,42.996,28.653,,,,6.233
Africa (EI),2008,,,,4258.883,623.504,,6.376,16.304,92.815,81.096,7.185,18.39,0.063,1.312,96.962,13.004,257.588,184.687,63.362,,3.322,0.01,0.21,15.551,2.086,41.313,29.621,,,,3.618
Africa (EI),2009,,,,4315.665,630.124,,6.455,16.646,92.763,80.76,7.237,18.678,0.084,1.59,99.567,12.806,247.799,192.549,68.536,,3.65,0.013,0.252,15.801,2.032,39.326,30.557,,,,7.014
Africa (EI),2010,,,,4460.19,672.758,,6.736,16.949,92.471,80.484,7.529,18.96,0.201,2.285,107.687,13.527,257.438,218.91,65.112,,3.856,0.03,0.34,16.007,2.011,38.266,32.539,,,,21.706
Africa (EI),2011,,,,4529.279,688.22,,6.819,17.101,92.44,80.511,7.56,18.976,0.587,2.388,110.733,12.902,260.186,236.516,57.395,,3.987,0.085,0.347,16.09,1.875,37.806,34.366,,,,8.397
Africa (EI),2012,,,,4734.076,722.586,,6.554,16.421,92.737,81.288,7.263,18.215,0.949,2.518,110.881,12.967,256.057,261.49,69.832,,4.307,0.131,0.348,15.345,1.795,35.436,36.188,,,,1.505
Africa (EI),2013,,,,4888.162,745.498,,6.703,16.939,92.556,80.69,7.444,18.831,0.738,3.596,117.321,14.106,251.971,268.453,81.115,,4.622,0.099,0.482,15.737,1.892,33.799,36.01,,,,17.214
Africa (EI),2014,,,,5049.482,770.714,,6.997,17.74,92.305,79.968,7.695,19.529,1.856,5.062,124.171,13.794,252.602,277.114,86.61,,5.633,0.241,0.657,16.111,1.79,32.775,35.955,,,,25.588
Africa (EI),2015,,,,5163.164,790.712,,7.023,17.788,92.375,80.213,7.625,19.335,3.546,8.913,120.966,12.237,251.597,288.234,94.424,,7.223,0.448,1.127,15.298,1.548,31.819,36.452,,,,9.343
Africa (EI),2016,,,,5280.843,799.935,,6.933,17.887,92.35,79.744,7.65,19.766,5.259,11.179,119.332,15.026,253.272,303.157,81.469,,7.317,0.657,1.397,14.918,1.878,31.662,37.898,,,,3.459
Africa (EI),2017,,,,5444.701,827.068,,7.179,18.571,92.166,79.098,7.834,20.287,6.911,13.614,125.531,14.193,253.154,327.435,73.604,,7.536,0.836,1.646,15.178,1.716,30.609,39.59,,,,24.682
Africa (EI),2018,,,,5530.573,849.991,,7.599,19.498,91.878,78.53,8.122,20.861,8.334,14.764,134.414,11.58,260.211,343.153,64.134,,8.223,0.98,1.737,15.814,1.362,30.613,40.371,,,,29.196
Africa (EI),2019,,,,5681.833,870.895,,7.841,20.262,91.58,77.558,8.42,21.784,11.033,19.283,137.838,13.252,258.523,358.867,58.056,,8.306,1.267,2.214,15.827,1.522,29.685,41.207,,,,25.008
Africa (EI),2020,,,,5412.605,853.838,,8.82,22.217,90.726,75.99,9.274,23.377,15.182,19.111,147.409,9.903,245.817,353.279,49.734,,7.996,1.778,2.238,17.264,1.16,28.79,41.375,,,,31.535
Africa (EI),2021,,,,5870.374,900.059,,8.715,22.664,90.764,75.368,9.236,24.037,17.458,22.96,155.507,12.355,243.797,382.35,52.207,,8.063,1.94,2.551,17.277,1.373,27.087,42.48,,,,34.12
Africa (EI),2022,,,,5954.654,911.739,,8.92,23.29,90.661,75.048,9.339,24.398,17.227,24.724,161.926,10.1,237.693,388.806,57.745,,8.471,1.889,2.712,17.76,1.108,26.07,42.644,,,,19.509
Africa (EI),2023,,,,6050.292,924.325,,9.215,24.258,90.457,74.343,9.543,25.134,18.963,28.41,167.117,8.1,228.3,395.409,63.462,,9.731,2.052,3.074,18.08,0.876,24.699,42.778,,,,26.002
Africa (EI),2024,,,,6139.628,963.931,,9.354,23.944,90.335,74.714,9.665,24.753,20.864,29.071,170.076,7.8,244.57,412.227,63.395,,10.793,2.164,3.016,17.644,0.809,25.372,42.765,,,,16.799
Africa (EIA),2000,,,,3402.793,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2001,,,,3508.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2002,,,,3622.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2003,,,,3778.402,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2004,,,,3898.832,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2005,,,,4121.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2006,,,,4200.947,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2007,,,,4351.817,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2008,,,,4554.907,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2009,,,,4549.266,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2010,,,,4754.933,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2011,,,,4883.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2012,,,,5104.439,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2013,,,,5265.281,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2014,,,,5431.361,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2015,,,,5425.935,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2016,,,,5464.726,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2017,,,,5698.093,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2018,,,,5717.813,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2019,,,,5916.964,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2020,,,,5551.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2021,,,,5772.613,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2022,,,,5965.856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (EIA),2023,,,,6051.291,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa (Ember),2000,,,,,441.07,441.07,,17.569,,79.482,,20.518,0.0,0.17,74.85,13.01,211.52,91.85,47.2,2.04,2.47,0.0,0.039,16.97,2.95,47.956,20.824,,,,
Africa (Ember),2001,,,,,459.45,459.45,,18.13,,79.536,,20.464,0.0,0.42,80.3,10.72,216.72,100.98,47.73,2.1,2.58,0.0,0.091,17.477,2.333,47.169,21.978,,,,
Africa (Ember),2002,,,,,487.7,487.7,,18.05,,79.491,,20.509,0.02,0.44,84.6,11.99,224.76,115.96,46.96,2.58,2.97,0.004,0.09,17.347,2.458,46.086,23.777,,,,
Africa (Ember),2003,,,,,509.15,509.15,,16.867,,80.646,,19.354,0.02,0.53,82.01,12.66,237.76,124.0,48.85,2.53,3.32,0.004,0.104,16.107,2.486,46.697,24.354,,,,
Africa (Ember),2004,,,,,540.14,540.14,,16.849,,80.675,,19.325,0.02,0.76,86.54,13.37,248.66,141.06,46.04,2.66,3.69,0.004,0.141,16.022,2.475,46.036,26.115,,,,
